Product,Frequency,Value
 4 PURPLE FLOCK DINNER CANDLES,0.002053388090349076,0.001848378892478897
 50'S CHRISTMAS GIFT BAG LARGE,0.0065486430989511075,0.01770233668634453
 DOLLY GIRL BEAKER,0.007825073533492424,0.02500168726041956
 I LOVE LONDON MINI BACKPACK,0.003995782229868472,0.012248681414275545
 NINE DRAWER OFFICE TIDY,0.001553915311615517,0.0020650228688599663
 OVAL WALL MIRROR DIAMANTE ,0.008491037238470504,0.031460691754430184
 RED SPOT GIFT BAG LARGE,0.00532770963982463,0.011890486350496327
 SET 2 TEA TOWELS I LOVE LONDON ,0.014040734779954493,0.028582174222318013
 SPACEBOY BABY GIFT SET,0.007436594705588545,0.025338789214441677
 TOADSTOOL BEDSIDE LIGHT ,5.5496975414839894e-05,1.3400224268653023e-05
 TRELLIS COAT RACK,0.0028858427215716744,0.006878525472526201
*Boombox Ipod Classic,5.5496975414839894e-05,0.0008053707634392657
*USB Office Mirror Ball,0.00011099395082967979,0.001215332974403514
10 COLOUR SPACEBOY PEN,0.01515067428825129,0.0467019998042189
12 COLOURED PARTY BALLOONS,0.008269049336811144,0.012883477981792344
12 DAISY PEGS IN WOOD BOX,0.004051279205283312,0.0070532901470483095
12 EGG HOUSE PAINTED WOOD,0.00488373383650591,0.016276161254848077
12 HANGING EGGS HAND PAINTED,0.00038847882790387923,0.00030112167597714265
12 IVORY ROSE PEG PLACE SETTINGS,0.007991564459736944,0.017938544724236397
12 MESSAGE CARDS WITH ENVELOPES,0.013374771074976415,0.03463885399055406
12 PENCIL SMALL TUBE WOODLAND,0.018147510960652643,0.06627295422019225
12 PENCILS SMALL TUBE RED RETROSPOT,0.018813474665630724,0.03250574426529536
12 PENCILS SMALL TUBE SKULL,0.018702480714801042,0.03678784044423744
12 PENCILS TALL TUBE POSY,0.008546534213885343,0.006273043419105299
12 PENCILS TALL TUBE RED RETROSPOT,0.013208280148731894,0.023824458611516205
12 PENCILS TALL TUBE SKULLS,0.013596758976635773,0.027111377174173036
12 PENCILS TALL TUBE WOODLAND,0.012042843665020257,0.017435215281734005
12 PINK HEN+CHICKS IN BASKET,0.0006104667295632388,0.0003824592866384251
12 PINK ROSE PEG PLACE SETTINGS,0.0011099395082967978,0.0017006584278087225
12 RED ROSE PEG PLACE SETTINGS,0.005494200566069149,0.01670647310355981
15 PINK FLUFFY CHICKS IN BOX,0.00038847882790387923,0.00037142022310373104
15CM CHRISTMAS GLASS BALL 20 LIGHTS,0.013485765025806094,0.035576868581353796
16 PC CUTLERY SET PANTRY DESIGN,5.5496975414839894e-05,0.00018786684518333014
16 PIECE CUTLERY SET PANTRY DESIGN,0.003107830623231034,0.009654600096154268
18PC WOODEN CUTLERY SET DISPOSABLE,0.002053388090349076,0.008168318664500579
2 DAISIES HAIR COMB,0.0006104667295632388,0.005536662647735462
2 PICTURE BOOK EGGS EASTER BUNNY,0.0018868971641045563,0.004379389186452291
2 PICTURE BOOK EGGS EASTER CHICKS,0.0013319274099561575,0.0018372777806095705
2 PICTURE BOOK EGGS EASTER DUCKS,0.0013319274099561575,0.002357592954717589
20 DOLLY PEGS RETROSPOT,0.01010044952550086,0.02471730312270951
200 BENDY SKULL STRAWS,0.0028858427215716744,0.00881126683197971
200 RED + WHITE BENDY STRAWS,0.008768522115544703,0.022504979723444115
3 BIRDS CANVAS SCREEN,0.00011099395082967979,7.95204808613328e-05
3 BLACK CATS W HEARTS BLANK CARD,0.00016649092624451968,9.658155687329901e-05
3 DRAWER ANTIQUE WHITE WOOD CABINET,0.01065541927964926,0.016394687978073696
3 GARDENIA MORRIS BOXED CANDLES,0.004106776180698152,0.00625252425644355
3 HEARTS HANGING DECORATION RUSTIC,0.016538098673622287,0.04690241825189419
3 HOOK HANGER MAGIC GARDEN,0.0071036128530995064,0.020806652540208005
3 HOOK PHOTO SHELF ANTIQUE WHITE,0.02014540207558688,0.03657220708010669
3 PIECE SPACEBOY COOKIE CUTTER SET,0.017759032132748764,0.046097273410873336
3 PINK HEN+CHICKS IN BASKET,0.00033298185248903936,0.00014659251458703498
3 RAFFIA RIBBONS 50'S CHRISTMAS ,0.01037793440257506,0.036050914533927614
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,0.005272212664409789,0.02786159694017786
3 ROSE MORRIS BOXED CANDLES,0.008491037238470504,0.019333415662904814
3 STRIPEY MICE FELTCRAFT,0.024252178256285034,0.06065698493674874
3 TIER CAKE TIN GREEN AND CREAM,0.010322437427160219,0.031473290890378494
3 TIER CAKE TIN RED AND CREAM,0.007991564459736944,0.020520216375431194
3 TIER SWEETHEART GARDEN SHELF,0.0022198790165935955,0.0037938789407412
3 TRADITIONAL COOKIE CUTTERS  SET,0.00016649092624451968,3.683898267605223e-05
3 TRADITIONAl BISCUIT CUTTERS  SET,0.011265886009212498,0.03140563936952757
3 WHITE CHOC MORRIS BOXED CANDLES,0.006437649148121428,0.020990323366761824
3 WICK CHRISTMAS BRIAR CANDLE ,0.00011099395082967979,0.0003130604403640069
36 DOILIES DOLLY GIRL,0.004162273156112992,0.010035402913859202
36 DOILIES VINTAGE CHRISTMAS,0.008990510017204063,0.016029294199471137
36 FOIL HEART CAKE CASES,0.009212497918863421,0.022859036384904545
36 FOIL STAR CAKE CASES ,0.006326655197291748,0.019425342486674706
36 PENCILS TUBE POSY,0.0011099395082967978,0.0028048960750648275
36 PENCILS TUBE RED RETROSPOT,0.01520617126366613,0.04134791438113935
36 PENCILS TUBE SKULLS,0.013874243853709972,0.03725861334715939
36 PENCILS TUBE WOODLAND,0.007991564459736944,0.021411717983382095
3D CHRISTMAS STAMPS STICKERS ,0.007658582607247905,0.029003761631978035
3D DOG PICTURE PLAYING CARDS,0.004328764082357511,0.011768139222666913
3D HEARTS  HONEYCOMB PAPER GARLAND,0.002497363893667795,0.0060999994778632655
3D SHEET OF CAT STICKERS,0.003995782229868472,0.012185925063824725
3D SHEET OF DOG STICKERS,0.006160164271047228,0.02814509134908951
3D TRADITIONAL CHRISTMAS STICKERS,0.010322437427160219,0.04146527548207866
3D VINTAGE CHRISTMAS STICKERS ,0.00993395859925634,0.04667481155359013
4 BLUE DINNER CANDLES SILVER FLOCK,0.0017204062378600366,0.0015927851820382972
4 BURGUNDY WINE DINNER CANDLES,0.0007214606803929186,0.0010763834850360233
4 GOLD FLOCK CHRISTMAS BALLS,5.5496975414839894e-05,0.0008487857615803797
4 IVORY DINNER CANDLES SILVER FLOCK,0.007270103779344026,0.021571587733574493
4 LAVENDER BOTANICAL DINNER CANDLES,0.007159109828514346,0.0239618014922191
4 LILY  BOTANICAL DINNER CANDLES,0.005494200566069149,0.013856615254011958
4 PEAR BOTANICAL DINNER CANDLES,0.0073256007547588655,0.022651719602825898
4 PINK DINNER CANDLE SILVER FLOCK,0.0017204062378600366,0.0023595009410075363
4 PINK FLOCK CHRISTMAS BALLS,0.0012209334591264775,0.005947945601822602
4 ROSE PINK DINNER CANDLES,0.0023863699428381155,0.008826927388438545
4 SKY BLUE DINNER CANDLES,0.0033853155003052333,0.00956276523688035
4 TRADITIONAL SPINNING TOPS,0.021810311338032077,0.06837245158697637
4 VANILLA BOTANICAL CANDLES,0.008879516066374382,0.028371702947226896
4 WILDFLOWER BOTANICAL CANDLES,0.00499472778733559,0.018337672852771433
5 HOOK HANGER MAGIC TOADSTOOL,0.0012209334591264775,0.004099201067371763
5 HOOK HANGER RED MAGIC TOADSTOOL,0.00521671568899495,0.012723166248016289
5 STRAND GLASS NECKLACE AMBER,0.00033298185248903936,0.001569402931935653
5 STRAND GLASS NECKLACE AMETHYST,0.00044397580331871915,0.0035622502915463993
5 STRAND GLASS NECKLACE BLACK,0.00033298185248903936,0.0015765628665498444
5 STRAND GLASS NECKLACE CRYSTAL,0.0005549697541483989,0.0014042601813054733
50'S CHRISTMAS PAPER GIFT BAG,0.005383206615239469,0.01589673568857079
50CM METAL STRING WITH  7 CLIPS,0.0012764304345413175,0.0031508177566525577
6 CHOCOLATE LOVE HEART T-LIGHTS,0.007769576558077584,0.019951223174798055
6 EGG HOUSE PAINTED WOOD,0.007714079582662745,0.017674921294490775
6 GIFT TAGS 50'S CHRISTMAS ,0.016205116821133247,0.05365821976375868
6 GIFT TAGS VINTAGE CHRISTMAS ,0.01603862589488873,0.04791762086017606
6 RIBBONS ELEGANT CHRISTMAS ,0.0107109162550641,0.05425370981929181
6 RIBBONS EMPIRE  ,0.011987346689605417,0.05646867470480298
6 RIBBONS RUSTIC CHARM,0.047449913979688105,0.12925357848734356
6 RIBBONS SHIMMERING PINKS ,0.010544425328819579,0.056153271939806605
6 ROCKET BALLOONS ,0.01065541927964926,0.027611908901587094
60 CAKE CASES DOLLY GIRL DESIGN,0.0205893778789056,0.05904810929193309
60 CAKE CASES VINTAGE CHRISTMAS,0.03224374271602198,0.10979669206774947
60 GOLD AND SILVER FAIRY CAKE CASES,0.00011099395082967979,4.7690793200873445e-05
60 TEATIME FAIRY CAKE CASES,0.04178922248737444,0.10216397473859659
6PC WOOD PLATE SET DISPOSABLE,0.001997891114934236,0.006704313692985907
70'S ALPHABET WALL ART,0.0007769576558077585,0.0020124080971036197
72 CAKE CASES VINTAGE CHRISTMAS,5.5496975414839894e-05,6.4485947778700676e-06
72 SWEETHEART FAIRY CAKE CASES,0.030800821355236138,0.06682506362576951
75 BLACK PETIT FOUR CASES,0.000998945557467118,0.0004720781339611854
75 GREEN FAIRY CAKE CASES,0.0023308729674232755,0.011793862689395956
75 GREEN PETIT FOUR CASES,0.004051279205283312,0.01278315801275744
A PRETTY THANK YOU CARD,0.0017759032132748766,0.007120275756307915
